Wavelength, Absorbance
380.5,0.01030307219
381.6,0.01076185476
382.8,0.01220056999
383.9,0.00838948055
385.1,0.005922703825
386.2,0.006336338038
387.4,0.007963555569
388.5,0.008196182967
389.7,0.007422966972
390.8,0.006509147982
392,0.008817783918
393.1,0.008703673822
394.3,0.009978517676
395.4,0.01113452198
396.6,0.01376109099
397.7,0.01742362536
398.9,0.01907597265
400,0.01982431859
401.2,0.01866471219
402.3,0.01800422186
403.5,0.01542274759
404.6,0.01244608152
405.8,0.009096839743
406.9,0.006561968925
408.1,0.004327261906
409.2,0.002365464309
410.4,0.001264358345
411.5,0.0009043720242
412.7,-0.0005772744579
413.8,-0.002594999291
415,-0.004558903376
416.1,-0.004828512671
417.3,-0.004721813947
418.4,-0.004323714936
419.6,-0.004709546294
420.7,-0.004881563745
421.9,-0.004816937802
423,-0.004881880153
424.2,-0.004859047965
425.3,-0.004345675707
426.5,-0.004445494876
427.6,-0.004453362322
428.8,-0.005445549677
429.9,-0.005368730946
431.1,-0.005226846723
432.2,-0.005297667801
433.4,-0.005107120893
434.5,-0.00469958182
435.7,-0.004940345163
436.8,-0.005374407439
438,-0.005566509862
439.1,-0.005663935853
440.3,-0.005477326848
441.4,-0.005349789384
442.6,-0.004749183347
443.7,-0.004867427194
444.9,-0.005055958615
446,-0.004267124801
447.2,-0.003574446174
448.3,-0.003820513845
449.5,-0.004618325664
450.6,-0.004413886836
451.8,-0.004351424955
452.9,-0.003670215251
454.1,-0.003352298706
455.2,-0.003186991776
456.4,-0.003056771008
457.5,-0.003114178986
458.7,-0.003000685586
459.8,-0.002667206461
461,-0.003430346887
462.1,-0.002959812672
463.3,-0.004272029777
464.4,-0.004027995484
465.6,-0.004620898878
466.7,-0.004067701652
467.9,-0.003937470959
469,-0.003171219276
470.2,-0.00270199556
471.3,-0.002019926879
472.5,-0.001790364512
473.6,-0.001233502274
474.8,-0.001153286479
475.9,-0.001232885001
477.1,-0.001900459883
478.2,-0.003114445302
479.4,-0.003389545866
480.5,-0.003035931332
481.7,-0.002412534856
482.8,-0.001412003983
484,-0.0007888126884
485.1,-0.0003750865939
486.3,-0.0007228903438
487.4,-0.001864850398
488.6,-0.002268947173
489.7,-0.003364295297
490.9,-0.003684423546
492,-0.003345776005
493.2,-0.002881315891
494.3,-0.002722241495
495.5,-0.003165386507
496.6,-0.003094985803
497.8,-0.003005332911
498.9,-0.002859203665
500.1,-0.002961568596
501.2,-0.003041105503
502.4,-0.003508055791
503.5,-0.003329563864
504.6,-0.004279630244
505.8,-0.004354913311
506.9,-0.004657515855
508.1,-0.003396122306
509.2,-0.003036208566
510.4,-0.002906894576
511.6,-0.003373388639
512.6,-0.003482705129
513.7,-0.003603850658
514.7,-0.003905056294
515.8,-0.003979942716
516.9,-0.004187911874
517.9,-0.004368611205
519,-0.004700020494
520.1,-0.004687826513
521.1,-0.004485359105
522.2,-0.004614522739
523.3,-0.004839433772
524.3,-0.004964532969
525.4,-0.004853703169
526.5,-0.004990783442
527.5,-0.004347538827
528.6,-0.004201681771
529.7,-0.003923205415
530.7,-0.004606454429
531.8,-0.004310199853
532.9,-0.004179005954
533.9,-0.003713574127
535,-0.004089243009
536.1,-0.004728131726
537.1,-0.00449723592
538.2,-0.004665594342
