Wavelength, Absorbance
380.5,0.007620725604
381.6,0.009197885556
382.8,0.01413825507
383.9,0.01239769173
385.1,0.01200582716
386.2,0.01201607044
387.4,0.01272938883
388.5,0.01053007724
389.7,0.009251316351
390.8,0.008750355304
392,0.01212960524
393.1,0.01168241558
394.3,0.01159276856
395.4,0.01152997594
396.6,0.01205788651
397.7,0.01155684367
398.9,0.01012412472
400,0.007871641231
401.2,0.006380139333
402.3,0.004601301315
403.5,0.002954028678
404.6,0.0007809117062
405.8,-0.001084802561
406.9,-0.002794091879
408.1,-0.004203793005
409.2,-0.005876061056
410.4,-0.006585574904
411.5,-0.007394630381
412.7,-0.007374385534
413.8,-0.00829020151
415,-0.00831893069
416.1,-0.00893581293
417.3,-0.008603445439
418.4,-0.008354414294
419.6,-0.007632424112
420.7,-0.007238401298
421.9,-0.00680889514
423,-0.007067735037
424.2,-0.006841534682
425.3,-0.007179046585
426.5,-0.006848858884
427.6,-0.006990988165
428.8,-0.006652810297
429.9,-0.005772660543
431.1,-0.004989400338
432.2,-0.004305596946
433.4,-0.00474108237
434.5,-0.003981969043
435.7,-0.003919645069
436.8,-0.003273267315
438,-0.003167367843
439.1,-0.002532153765
440.3,-0.002873166728
441.4,-0.002836471876
442.6,-0.00265956101
443.7,-0.002449246509
444.9,-0.00233634974
446,-0.002454912282
447.2,-0.001480026618
448.3,-0.0007090527473
449.5,-0.0007695044599
450.6,-0.0003004797415
451.8,-0.0006202646729
452.9,0.0003488326811
454.1,0.0002404429885
455.2,0.0003038947812
456.4,0.0001270770311
457.5,0.0006587960879
458.7,0.001311140607
459.8,0.001727165095
461,0.001432818569
462.1,0.001746722736
463.3,0.002341727671
464.4,0.002665720314
465.6,0.001321968825
466.7,0.001257152153
467.9,0.001642106597
469,0.002440357066
470.2,0.002809603151
471.3,0.002952753728
472.5,0.004578725869
473.6,0.00526986819
474.8,0.005067432132
475.9,0.004383983288
477.1,0.003777845842
478.2,0.00358693114
479.4,0.003179503278
480.5,0.003574783997
481.7,0.004067311187
482.8,0.004594573229
484,0.00509739458
485.1,0.004596714841
486.3,0.00472309726
487.4,0.004011346322
488.6,0.004070082983
489.7,0.003854192361
490.9,0.003500829888
492,0.004014128649
493.2,0.003957754237
494.3,0.004152794446
495.5,0.003809320352
496.6,0.003700211362
497.8,0.002443742284
498.9,0.002160686446
500.1,0.001773273075
501.2,0.002044314039
502.4,0.001914946662
503.5,0.001755420706
504.6,0.001779354439
505.8,0.00195026782
506.9,0.00190343314
508.1,0.002671823388
509.2,0.002630166539
510.4,0.002806536342
511.6,0.002089031052
512.6,0.002394967186
513.7,0.002526007072
514.7,0.002844687731
515.8,0.002977086082
516.9,0.002961789288
517.9,0.002125143553
519,0.001441606925
520.1,0.000588981154
