pH,TRIAL 1,TRIAL 2,TRIAL 3
5.0,0.029,0.093,0.063
5.5,0.022,0.026,0.028
6.0,0.015,0.026,0.042
6.5,0.058,0.101,0.056
7.0,0.026,0.025,0.031
7.5,0,0.013,0.006
8.0,0,0.09,0.008
