Wavelength, Absorbance
380.5,-0.004345793041
381.6,0.001130029956
382.8,0.001827010965
383.9,-0.003969812668
385.1,-0.007142780312
386.2,-0.006240711654
387.4,-0.0002263766207
388.5,0.002810695481
389.7,0.009352375774
390.8,0.0121271749
392,0.01888114433
393.1,0.02710427603
394.3,0.03488610079
395.4,0.04106133401
396.6,0.04493251117
397.7,0.05099754326
398.9,0.05451031349
400,0.05901648214
401.2,0.05996689549
402.3,0.06168655601
403.5,0.06186034869
404.6,0.06453346913
405.8,0.06637210171
406.9,0.0698047867
408.1,0.07026143429
409.2,0.07196821117
410.4,0.07301783203
411.5,0.07604512524
412.7,0.07767736148
413.8,0.07917594083
415,0.07902608989
416.1,0.07948586728
417.3,0.07954039653
418.4,0.08024716884
419.6,0.0805179921
420.7,0.08102888964
421.9,0.08122371515
423,0.08273221053
424.2,0.08223701297
425.3,0.08306087932
426.5,0.08375412904
427.6,0.08477605363
428.8,0.08523739321
429.9,0.0845003948
431.1,0.08500320821
432.2,0.08445734366
433.4,0.08399468466
434.5,0.08303360164
435.7,0.08184377193
436.8,0.08056902755
438,0.08023355442
439.1,0.08013869355
440.3,0.07913994823
441.4,0.07800037481
442.6,0.07658504028
443.7,0.07566848487
444.9,0.074397473
446,0.07368428593
447.2,0.07214861246
448.3,0.07088849332
449.5,0.06850082213
450.6,0.06852345396
451.8,0.06649257926
452.9,0.06615059907
454.1,0.06364600732
455.2,0.06428007316
456.4,0.06443001961
457.5,0.06412652224
458.7,0.06171393572
459.8,0.0597155169
461,0.05744648809
462.1,0.05711889241
463.3,0.05646143013
464.4,0.05735345613
465.6,0.05641348961
466.7,0.05611130772
467.9,0.05589099949
469,0.05448105522
470.2,0.05306262311
471.3,0.05143989454
472.5,0.05116194603
473.6,0.0500557208
474.8,0.05050478338
475.9,0.04899627715
477.1,0.0484524093
478.2,0.04609211688
479.4,0.04540823638
480.5,0.0429493005
481.7,0.04180248361
482.8,0.04001527317
484,0.03859001966
485.1,0.0376997742
486.3,0.03686023994
487.4,0.03642993249
488.6,0.03399213443
489.7,0.0316390809
490.9,0.02954615236
492,0.02924683398
493.2,0.02852132111
494.3,0.02842386231
495.5,0.02755640031
496.6,0.02749689826
497.8,0.02611275437
498.9,0.02512710421
500.1,0.02433122316
501.2,0.02313516067
502.4,0.02148788922
503.5,0.01989604779
504.6,0.02016859172
505.8,0.02014012891
506.9,0.01881068438
508.1,0.01688284336
509.2,0.01637505744
510.4,0.0168420524
511.6,0.0163381941
512.6,0.01565362837
513.7,0.01390536698
514.7,0.01379506786
515.8,0.01272757666
516.9,0.0124031027
517.9,0.01241687289
519,0.01197183191
520.1,0.01266047154
521.1,0.01203615063
522.2,0.01251724001
523.3,0.01174308173
524.3,0.01160697203
525.4,0.01106561708
526.5,0.01121570617
527.5,0.01120573858
528.6,0.01111959122
529.7,0.01079802975
530.7,0.01046318601
531.8,0.01061613152
532.9,0.01017157235
533.9,0.0104299152
535,0.01058406048
536.1,0.01151368154
537.1,0.01222804127
538.2,0.01235483331
539.2,0.01296019537
540.3,0.01239306234
541.4,0.01213890347
542.4,0.01136880869
543.5,0.01117338308
544.6,0.01200628903
545.6,0.01222129784
546.7,0.01270296445
547.8,0.01175769826
548.8,0.01114475204
549.9,0.01089229296
551,0.01113191686
552,0.01121087344
553.1,0.01069224934
554.2,0.01053039773
555.2,0.01078404658
556.3,0.01197254027
557.4,0.01208011363
558.4,0.01263834934
559.5,0.01295488587
560.6,0.01360522565
561.6,0.01506764733
562.7,0.01523875796
563.7,0.01541952398
564.8,0.01390633874
565.9,0.01282418673
566.9,0.01183703743
568,0.01219999566
569.1,0.01232028407
570.1,0.01273171613
571.2,0.01300123008
572.3,0.01301421683
573.3,0.01335363634
574.4,0.01315390989
575.5,0.01367585147
576.5,0.01393248622
577.6,0.01406220672
578.7,0.01401356892
579.7,0.01286943305
580.8,0.01351524451
581.9,0.01323858677
582.9,0.01440743944
584,0.01296196157
585.1,0.01322083487
586.1,0.01290232438
587.2,0.01336090526
588.3,0.01332328747
589.3,0.01373375342
590.4,0.01406358425
591.5,0.01464234972
592.6,0.01416013819
593.6,0.01448920437
594.7,0.01389827088
595.8,0.01415045142
596.9,0.01352051983
598,0.01322486951
599,0.01323355937
600.1,0.01309714821
601.2,0.01465203817
602.3,0.01452588313
603.3,0.01483786324
604.4,0.01412543634
605.5,0.01490946684
606.6,0.01505402386
607.6,0.013936543
608.7,0.01404257555
609.8,0.01402632694
610.9,0.01539689595
611.9,0.01480353411
613,0.01502482863
614.1,0.01441530185
615.2,0.01455607801
616.2,0.01432723557
617.3,0.01470605911
618.4,0.01419343177
619.5,0.0141965861
620.6,0.01381598669
621.6,0.01372909992
622.7,0.01394444366
623.8,0.01402981106
624.9,0.01370454703
625.9,0.01300604093
627,0.01234040838
628.1,0.01279364498
629.2,0.01337501343
630.2,0.0141353809
631.3,0.01439939406
632.4,0.01420167906
633.5,0.01387218837
634.5,0.01390700763
635.6,0.01357898887
636.7,0.0142165297
637.8,0.01503096896
638.8,0.0159109547
639.9,0.01627712565
641,0.01581411357
642.1,0.01664253817
643.1,0.01680943002
644.2,0.01803278369
645.3,0.01799919401
646.4,0.01911929867
647.5,0.02019011612
648.5,0.02088363722
649.6,0.02091199827
650.7,0.02062211259
651.8,0.02145634645
652.8,0.02273832637
653.9,0.02315624576
655,0.02354908329
656.1,0.02411022259
657.1,0.0257770184
658.2,0.02680090081
659.3,0.02725874286
660.4,0.02774508408
661.4,0.02862153294
662.5,0.02867360521
663.6,0.02880927081
