Wavelength, Absorbance
380.5,0.1002472368
381.6,0.09942586701
382.8,0.09760894283
383.9,9.72E-02
385.1,0.09712071855
386.2,0.09716884936
387.4,0.0967588737
388.5,0.09706131582
389.7,0.09955804173
390.8,0.1046570298
392,0.1141792672
393.1,0.120190624
394.3,0.1235065414
395.4,0.1202466902
396.6,0.1165405029
397.7,0.110951995
398.9,0.1063260152
400,0.1023849567
401.2,0.1003742688
402.3,0.1004620042
403.5,0.1027335362
404.6,0.1055486884
405.8,0.1089999985
406.9,1.12E-01
408.1,0.1161720612
409.2,0.1190736582
410.4,0.1213219007
411.5,0.1226918767
412.7,0.1228452894
413.8,0.1231079093
415,0.1246795605
416.1,0.127241828
417.3,0.1285012516
418.4,0.1285785345
419.6,0.1279086329
420.7,1.27E-01
421.9,0.1268670264
423,0.1267013821
424.2,0.1268096891
425.3,0.1266829681
426.5,0.1262251236
427.6,1.26E-01
428.8,0.125336472
429.9,0.1250376706
431.1,0.1234669105
432.2,0.1233413021
433.4,0.1216849079
434.5,0.1204566669
435.7,0.1184747688
436.8,0.1179184711
438,0.1169343455
439.1,0.1158871131
440.3,0.115658992
441.4,0.1151636545
442.6,0.1132695036
443.7,0.1098270875
444.9,0.1061207986
446,0.102898944
447.2,0.09982748283
448.3,0.09744728351
449.5,0.09651004769
450.6,0.09476094305
451.8,0.09402668447
452.9,0.09212863155
454.1,0.09002825629
455.2,0.08782813808
456.4,0.08507664072
457.5,0.08387366876
458.7,0.08231732196
459.8,0.08113162227
461,0.07994714731
462.1,7.84E-02
463.3,0.07661791123
464.4,0.07602468426
465.6,0.07574627475
466.7,0.07705445995
467.9,0.07618165827
469,0.07482417323
470.2,0.07220665307
471.3,0.06976860488
472.5,0.06718890108
473.6,0.0653200386
474.8,0.06323737061
475.9,0.0617555762
477.1,0.05993414917
478.2,0.05809116131
479.4,0.05622731902
480.5,0.05373198057
481.7,0.05136626143
482.8,0.04858695607
484,0.04698872833
485.1,0.04510589151
486.3,0.04375463499
487.4,0.04193696331
488.6,0.04051985148
489.7,0.03912237391
490.9,0.03829424896
492,0.0369279418
493.2,0.03524448579
494.3,0.03324220524
495.5,0.03206223419
496.6,0.03077854081
497.8,3.00E-02
498.9,0.02807204491
500.1,0.0269598578
501.2,0.02537753794
502.4,0.02514168105
503.5,0.02458751412
504.6,0.02385952663
505.8,0.02351741521
506.9,0.023150408
508.1,0.02308484754
509.2,0.0219935142
510.4,0.02117827869
511.6,2.09E-02
512.6,0.0209929296
513.7,0.02022045406
514.7,0.01938497972
515.8,0.01806051761
516.9,0.01832272831
517.9,0.0175642542
519,0.01746683587
520.1,0.01672246419
521.1,0.01694680859
522.2,0.01747815399
523.3,0.01715086051
524.3,0.01638838665
525.4,0.01504187486
526.5,0.01427267531
527.5,0.01394920041
528.6,0.01368394734
529.7,0.01338509768
530.7,0.01320676015
531.8,0.01368330236
532.9,0.01337352625
533.9,1.31E-02
535,0.01202845729
536.1,0.01259911095
537.1,0.01322515105
538.2,0.01378112312
539.2,0.01391344675
540.3,1.28E-02
541.4,0.01240935778
542.4,0.01205843542
543.5,0.012024106
544.6,0.01191691863
545.6,0.01159612184
546.7,0.01210146113
547.8,1.18E-02
548.8,0.01177757351
549.9,0.01148137149
551,1.16E-02
552,0.01148143997
553.1,0.01107950578
554.2,0.01083650293
555.2,0.01069320652
556.3,0.01062110869
557.4,0.01096187961
558.4,0.01048317106
559.5,0.01038743629
560.6,0.01030478339
561.6,0.0107566144
562.7,0.01089726044
563.7,0.01110659603
564.8,1.07E-02
565.9,1.08E-02
566.9,1.09E-02
568,0.01065155899
569.1,0.01032670842
570.1,0.009531668041
571.2,0.009976629097
572.3,0.009799400604
573.3,1.05E-02
574.4,0.01108408604
575.5,1.13E-02
576.5,0.01075285034
577.6,0.01002000981
578.7,1.07E-02
579.7,0.01083788618
580.8,0.01146545093
581.9,0.01090089699
582.9,0.0111395654
584,0.01021678149
585.1,0.01031698368
586.1,0.009965498589
587.2,0.01059512505
588.3,0.01024039441
589.3,0.009764904672
590.4,0.009788630307
591.5,9.78E-03
592.6,0.01065521851
593.6,0.01114643225
594.7,0.01138296699
595.8,0.01110966666
596.9,0.01023879214
598,0.01060276165
599,0.01056834306
600.1,0.01079071179
601.2,0.01055028917
602.3,0.01098441167
603.3,0.01135554065
604.4,0.01134048307
605.5,0.01090762187
606.6,0.0111878771
607.6,0.01106402834
608.7,0.01133603967
609.8,0.01152752682
610.9,0.0117750358
611.9,0.01211937062
613,0.01192266819
614.1,0.01218501422
615.2,0.01237671997
616.2,0.01276542816
617.3,0.01260620701
618.4,0.01229791596
619.5,0.01226511735
620.6,0.01326895477
621.6,0.01369130815
622.7,0.01318616091
623.8,0.01249502473
624.9,0.01238086622
625.9,0.01288873892
627,0.01293068552
628.1,0.01279496665
629.2,0.01264402908
630.2,0.01261708506
631.3,0.01257747821
632.4,0.01264196191
633.5,0.01292553924
634.5,1.32E-02
635.6,0.01379497515
636.7,0.01440356043
637.8,0.01505072951
638.8,0.01502314593
639.9,0.01519781504
641,0.01543999248
642.1,0.01562403335
643.1,0.01611919237
644.2,1.63E-02
645.3,0.01710694355
646.4,0.01766988406
647.5,0.01821857668
648.5,0.01903279245
649.6,1.98E-02
650.7,0.0209607067
651.8,0.02204194314
652.8,0.02310215407
653.9,0.02429381221
655,2.51E-02
656.1,0.02601574758
657.1,0.02686212868
658.2,0.02768159779
659.3,0.02807666559
660.4,0.02807742505
661.4,0.02859925046
662.5,0.02912815342
663.6,0.02956724004
664.7,2.90E-02
665.7,0.02805700977
666.8,0.02766276623
667.9,0.02694261958
669,0.02582464876
670.1,0.02451207024
671.1,0.02321093589
672.2,0.02259342995
673.3,0.02109270297
674.3,0.02020874373
675.4,0.01898567117
676.5,0.01876020259
677.6,1.79E-02
678.6,0.01739502357
679.7,1.67E-02
680.8,0.01611146199
681.9,0.01516616346
682.9,0.01459353076
684,0.01442173952
685.1,0.01416100747
686.2,0.01381120665
687.2,0.01384409147
688.3,0.01390161869
689.4,0.01378556155
690.4,0.01324508136
691.5,1.35E-02
692.6,0.01307396216
693.7,0.01283992043
694.7,0.01239686815
695.8,0.01187875191
696.9,0.01239490411
698,0.01255707181
699,0.0131370326
700.1,0.01282842646
701.2,0.01204566363
702.2,0.01183077952
703.3,0.01194305759
704.4,0.01225788293
705.5,0.01264421145
706.6,1.15E-02
707.7,0.01165671519
708.8,0.01135473579
709.9,0.01244092023
711,0.01243730084
712.1,0.01202195499
713.2,0.01199952973
714.3,0.01181751129
715.4,0.01229045414
716.5,0.01147586956
717.6,0.0113187783
718.8,0.01112142996
719.9,0.01118769776
721,1.13E-02
722.1,0.01129464679
723.2,1.15E-02
724.3,0.01150626832
725.4,0.01114194501
726.5,0.01136098327
727.6,0.01172637558
728.7,0.01204010367
729.8,0.01130132853
731,0.0110055433
732.1,0.01129954766
733.2,0.01233068474
734.3,0.01277495916
735.4,0.01272293331
736.5,0.0126627875
737.6,0.01230001785
738.7,0.01274113821
739.8,0.01277256212
740.9,0.01319904454
742.1,1.34E-02
743.2,0.0138796443
744.3,1.44E-02
745.4,0.01415337456
746.5,0.01406626298
747.6,1.37E-02
748.7,0.01436006052
749.8,0.01454611683
750.9,0.01528087297
752,1.48E-02
753.1,0.01523302005
754.3,0.01477394828
755.4,0.0147135609
756.5,0.01443967192
757.6,0.01459715548
758.7,0.0149807657
759.8,0.01494953209
760.9,0.01500141183
762,0.01494145052
763.1,0.01489663836
764.2,0.01509331917
765.3,0.01547619297
766.5,0.01621016633
767.6,0.01650048818
768.7,1.63E-02
769.8,0.01549147834
770.9,1.55E-02
772,1.56E-02
773.1,0.01592813217
774.2,0.01593085706
775.3,0.01626008918
776.4,0.01687143487
777.6,0.01730582252
778.7,0.01725598327
779.8,0.01758835696
780.9,0.01710891328
782,0.01708100945
783.1,0.01697527278
784.2,0.01717344266
785.3,1.75E-02
786.4,0.0174287153
787.5,0.01738964418
788.6,0.0167895354
789.8,0.01747274841
790.9,0.01789760594
792,0.0183576734
793.1,0.01768979806
794.2,0.01823360347
795.3,1.85E-02
796.4,0.01884785205
797.5,0.01881356868
798.6,0.01874258734
799.7,0.01870948825
800.8,0.01843520011
802,0.01806372005
803.1,0.01759390103
804.2,1.78E-02
805.3,1.88E-02
806.4,0.01921903412
807.5,0.01840462241
808.6,0.01869422122
809.7,0.01869158529
810.8,0.01936148086
811.9,1.87E-02
813.1,0.01941597527
814.2,0.01953683309
815.3,0.02001587643
816.4,0.02007965075
817.5,0.02049149007
818.6,0.02010424436
819.7,0.02016200686
820.8,2.00E-02
821.9,0.02064383509
823,2.07E-02
824.1,0.0211536541
825.3,0.02131266476
826.4,0.02085140961
827.5,0.02055064468
828.6,0.02037900648
829.7,0.02078839957
830.8,0.02077854434
831.9,0.0203466146
833,0.02037318227
834,0.02037039614
835.1,0.02128242923
836.1,0.02077988776
837.2,0.02096239339
838.2,0.02098540373
839.3,0.02171597241
840.3,0.02152698185
841.4,2.11E-02
842.4,0.02049553165
843.5,0.02060480039
844.5,0.0209642311
845.6,0.02036777913
846.6,0.02040049582
847.7,0.0200162763
848.7,0.01976819128
849.8,0.02006141086
850.8,0.01900266072
851.9,0.01907860251
852.9,1.82E-02
854,0.01845181035
855,0.01877921236
856.1,0.0184131992
857.1,0.01858121978
858.2,0.0174542174
859.2,0.01715883498
860.3,0.01770306425
861.4,0.01779003377
862.4,1.78E-02
863.5,0.01611882367
864.5,0.01610675943
865.6,0.01639355504
866.6,0.01698480671
867.7,0.01735558734
868.7,0.01660713991
869.8,0.0168891084
870.8,0.01587882742
871.9,0.01592863099
872.9,0.01506365262
874,0.01553525179
875,0.01600157786
876.1,0.01477198857
877.1,0.01490336721
878.2,0.01350733669
879.2,0.01373224411
880.3,0.01396014949
881.3,0.01428520816
882.4,0.01532641404
883.4,0.01498905051
884.5,0.01452043463
885.5,0.01425884894
886.6,0.01387971178
887.6,0.01472741156
888.7,1.40E-02
889.7,0.01436843511
890.8,0.01417191253
891.9,0.01529678646
892.9,0.01597053432
894,0.01584627976
895,0.01562864968
896.1,0.01504988663
897.1,0.01471995544
898.2,0.01584533246
899.2,0.01633010241
900.3,0.01654036822
901.3,0.0165314313
902.4,0.01610076243
903.4,0.01848237395
904.5,0.01905243821
905.5,0.02091025271
906.6,0.02158218549
907.6,0.02138628881
908.7,0.02225596197
909.7,0.02212326602
910.8,2.40E-02
911.8,0.02603803457
912.9,0.02821276351
913.9,0.03044355514
915,0.03142935196
916,0.03170642038
917.1,0.03364659072
918.1,0.03364347911
919.2,0.03591604695
920.3,3.63E-02
921.3,0.03814356768
922.4,0.03959526131
923.4,0.0404431563
924.5,0.04100137794
925.5,0.04127745356
926.6,0.04250629569
927.6,0.0442313023
928.7,0.04507124006
929.7,0.04579177779
930.8,0.04654910003
931.8,0.04697172221
932.9,0.04767592079
933.9,0.04760747537
935,4.74E-02
936,0.04878637705
937.1,0.04983213431
938.1,0.05187295544
939.2,5.22E-02
940.3,0.05282920973
941.3,0.05369558939
942.4,0.05445065116
943.4,0.05613194431
944.5,0.05714377848
945.5,0.05804004712
946.6,0.05786481136
947.6,0.05912070648
948.7,0.05965978054
949.7,6.11E-02
