Wavelength, Absorbance
380.5,0.1543010669
381.6,0.1453944744
382.8,0.1356780344
383.9,0.1334055999
385.1,0.1349845142
386.2,0.1341264113
387.4,0.1344621324
388.5,0.1339044555
389.7,0.135763956
390.8,0.1391995367
392,0.1470316456
393.1,0.1521738307
394.3,0.1559018768
395.4,0.155485123
396.6,0.1535247749
397.7,0.1513175009
398.9,0.1479696621
400,0.1463410881
401.2,0.146035919
402.3,0.1467988382
403.5,0.1478942209
404.6,0.1499064785
405.8,0.153105943
406.9,0.1569671495
408.1,0.1600253678
409.2,0.1629525382
410.4,0.1647901937
411.5,0.1661054337
412.7,0.1675747409
413.8,0.1692060562
415,0.1710807362
416.1,0.1716566938
417.3,0.1730427692
418.4,0.1734883583
419.6,0.1750146734
420.7,0.1745218191
421.9,0.1743156073
423,0.1736817951
424.2,0.1742631851
425.3,0.174519723
426.5,0.1747642723
427.6,0.1748029315
428.8,0.1746707459
429.9,0.174894844
431.1,0.1746692368
432.2,0.1751094933
433.4,0.1746733596
434.5,0.1739746701
435.7,0.1732929289
436.8,0.1721889291
438,0.1714158743
439.1,0.1696078166
440.3,0.169157032
441.4,0.1680794675
442.6,0.1664020113
443.7,0.1633296453
444.9,0.1597136285
446,0.1575112987
447.2,0.1549780334
448.3,0.1533868468
449.5,0.1513125063
450.6,0.1496879728
451.8,0.1488657807
452.9,0.1475329936
454.1,0.1458864124
455.2,0.1431998331
456.4,0.1410047758
457.5,0.1397370682
458.7,0.1391610472
459.8,0.1380027068
461,0.1376192317
462.1,0.1368651408
463.3,0.1374022947
464.4,0.1367457742
465.6,0.1371008893
466.7,0.1370558407
467.9,0.1379509563
469,0.1374498182
470.2,0.1363452089
471.3,0.1349484666
472.5,0.1329247589
473.6,0.1309319125
474.8,0.1286358273
475.9,0.1270187639
477.1,0.1251545716
478.2,0.1231758306
479.4,0.1208779715
480.5,0.1187769614
481.7,0.1165587088
482.8,0.1135385792
484,0.1113866258
485.1,0.1088336414
486.3,0.1078497477
487.4,0.1062108865
488.6,0.1041391608
489.7,0.102108887
490.9,0.1008196186
492,0.09927133732
493.2,0.09784867497
494.3,0.09549145463
495.5,0.09447619731
496.6,0.09256160495
497.8,0.09080710919
498.9,0.08824294426
500.1,0.08703821795
501.2,0.08624402043
502.4,0.08597621842
503.5,0.08565970025
504.6,0.08421566657
505.8,0.08360562486
506.9,0.08263475925
508.1,0.08262475044
509.2,0.08231202111
510.4,0.08142243291
511.6,0.08070835643
512.6,0.07993346291
513.7,0.07923421379
514.7,0.07889395952
515.8,0.07849062166
516.9,0.07846312838
517.9,0.07764971864
519,0.07625498539
520.1,0.07573911365
521.1,0.07579862554
522.2,0.07696447387
523.3,0.07671155718
524.3,0.07582278311
525.4,0.07453422932
526.5,0.07339040035
527.5,0.07309389815
528.6,0.0724824734
529.7,0.0726896959
530.7,0.0729354621
531.8,0.07377705565
532.9,0.07328351674
533.9,0.07346748228
535,0.07263931741
536.1,0.07386107804
537.1,0.07381433531
538.2,0.0740945931
539.2,0.07273550696
540.3,0.0720524512
541.4,0.07171150306
542.4,0.07206146589
543.5,0.07220120015
544.6,0.07232573926
545.6,0.07218536983
546.7,7.21E-02
547.8,0.07200076615
548.8,0.07284023873
549.9,0.07244732441
551,0.07227645483
552,0.07148868842
553.1,0.0716368313
554.2,0.07148404013
555.2,0.07139266433
556.3,0.07142256462
557.4,0.07204170595
558.4,0.07177107731
559.5,0.07093057891
560.6,0.07062298345
561.6,0.07113837738
562.7,0.07179070839
563.7,0.07204691816
564.8,0.07179267914
565.9,0.07160344277
566.9,0.0713811777
568,0.0707563566
569.1,0.07010168681
570.1,0.06957549481
571.2,0.0699568296
572.3,0.07084918156
573.3,0.07059288419
574.4,0.07031185284
575.5,0.06942371016
576.5,0.06956155595
577.6,0.06959277192
578.7,7.03E-02
579.7,0.0695414986
580.8,0.06983934647
581.9,0.06908922859
582.9,0.06944527416
584,0.06858547298
585.1,0.06889983318
586.1,0.06911091002
587.2,0.06891601468
588.3,0.06809664743
589.3,0.06758544471
590.4,0.06747315478
591.5,0.06772299007
592.6,0.06777470763
593.6,0.06807607644
594.7,0.06815845429
595.8,0.06780053906
596.9,0.06750476572
598,0.06742766072
599,0.06739324571
600.1,0.06714092624
601.2,0.06706411167
602.3,0.06829481824
603.3,0.06895733594
604.4,0.0694554366
605.5,0.0684627839
606.6,0.06833140858
607.6,0.06820720637
608.7,0.06828261487
609.8,0.06829065106
610.9,0.06832130448
611.9,0.06864258822
613,0.06866669354
614.1,0.06897351681
615.2,0.06866998033
616.2,0.06926070855
617.3,0.06892919031
618.4,0.06921760639
619.5,0.06865148094
620.6,0.06882296595
621.6,0.06874524773
622.7,0.06889287202
623.8,0.06819758683
624.9,0.06786837977
625.9,0.0674212496
627,0.0677698724
628.1,0.06808281335
629.2,0.06837590005
630.2,0.06821104565
631.3,0.06780106824
632.4,0.06773170618
633.5,0.06808257335
634.5,0.06833757622
635.6,0.06870241826
636.7,0.06936422012
637.8,0.0702610053
638.8,0.07081712047
639.9,0.07141058568
641,0.07174226357
642.1,0.0721370531
643.1,0.07224371724
644.2,0.07260061854
645.3,0.07319963278
646.4,0.07382597541
647.5,0.07492926706
648.5,0.07613186731
649.6,0.07759257897
650.7,0.0787445531
651.8,0.08006711095
652.8,0.08185999785
653.9,0.0836695229
655,0.08528071837
656.1,0.0866911107
657.1,0.08811261033
658.2,0.08941819706
659.3,0.09066795696
660.4,0.09159662312
661.4,0.09256643751
662.5,0.09200376823
663.6,0.09190343243
664.7,0.09088692543
665.7,0.0899265771
666.8,0.088313427
667.9,0.08588025693
669,0.08374254339
670.1,0.08139384812
671.1,0.07939485362
672.2,0.07707492528
673.3,0.07454436485
674.3,0.07327706061
675.4,0.07167203862
676.5,0.07066982016
677.6,0.0689155551
678.6,0.0678074417
679.7,0.06608054145
680.8,0.0650729643
681.9,0.06393857093
682.9,0.06341907785
684,0.06263243022
685.1,0.06229432211
686.2,0.06191859491
687.2,0.06229013858
688.3,0.06193052323
689.4,0.06158678953
690.4,0.06069259688
691.5,0.06065085728
692.6,0.0604717151
